exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Bodyweight Wall Slide Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Stability Ball Wall Slide Squat,Beginner,Quadriceps,Stability Ball,No Arms,Continuous,No Grip,Unsorted*
Suspension Squat,Beginner,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Unsorted*
Suspension Alternating Reverse Lunge,Beginner,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Squat to Bench,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Bodyweight Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Bodyweight Hand Assisted Split Squat,Beginner,Quadriceps,Bodyweight,Single Arm,Continuous,Hand Assisted,Bodybuilding
Bodyweight Walking Lunge,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Dumbbell Goblet Squat ,Beginner,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Miniband Romanian Deadlift,Beginner,Hamstrings,Miniband,Double Arm,Continuous,Pronated,Bodybuilding
Superband Resisted Skater Jump,Intermediate,Abductors,Superband,No Arms,Continuous,No Grip,Plyometric
Cable Prone Single Leg Hamstring Curl,Beginner,Hamstrings,Cable,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Candlestick Roll Up Tuck Jump,Intermediate,Glutes,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Single Arm Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Single Arm,Continuous,Neutral,Unsorted*
Double Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Double Arm,Continuous,Neutral,Unsorted*
Barbell Block Pull Deadlift,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Box Back Squat,Novice,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Barbell Deficit Deadlift,Intermediate,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Glute Bridge,Novice,Glutes,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Halting Deadlift,Novice,Back,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell High Bar Back Squat,Novice,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Barbell Low Bar Back Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Powerlifting
Alternating Double Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Double Arm,Alternating,Neutral,Unsorted*
Barbell Power Clean,Expert,Glutes,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Barbell Power Snatch,Expert,Glutes,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Double Indian Club Lateral Internal and External Rotations,Novice,Shoulders,Indian Club,Double Arm,Continuous,Neutral,Mobility
Barbell Romanian Deadlift,Novice,Hamstrings,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Indian Club Lateral Internal and External Rotation,Novice,Shoulders,Indian Club,Single Arm,Continuous,Neutral,Mobility
Barbell Back Rack Split Squat,Novice,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Stiff Legged Deadlift,Novice,Hamstrings,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Sumo Back Squat,Novice,Glutes,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Bodyweight Pistol Squat,Advanced,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Bodyweight Skater Squat,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Cable Pull Through,Beginner,Glutes,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Step Up,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Deficit Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Indian Club Overhead Arm Circles,Novice,Shoulders,Indian Club,Double Arm,Continuous,Neutral,Mobility
Double Dumbbell Suitcase Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Front Rack Alternating Step Up,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Face the Wall Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Feet Elevated Glute Bridge,Novice,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Sliders,Single Arm,Continuous,Pronated,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,Advanced,Quadriceps,Sliders,Single Arm,Continuous,Bottoms Up,Bodybuilding
Slider Kettlebell Goblet Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Miniband Thigh Monster Walk,Beginner,Abductors,Miniband,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Quadruped Hip Extension,Beginner,Glutes,Bodyweight,Double Arm,Continuous,Flat Palm,Unsorted*
Suspension Pistol Squat,Intermediate,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Balance
Suspension Skater Squat,Novice,Quadriceps,Suspension Trainer,Double Arm,Continuous,Neutral,Balance
Bodyweight Tuck Jump,Novice,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Bodyweight Alternating Single Leg Wall Sit,Novice,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Single Leg Romanian Deadlift Jump,Intermediate,Hamstrings,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Double Dumbbell Overhead Walking Lunge,Intermediate,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Stability Ball,Double Arm,Continuous,Neutral,Bodybuilding
Bodyweight Reverse Nordic,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Alternating Lateral Bench Jump,Novice,Glutes,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Single Arm Dumbbell Front Rack Squat,Novice,Quadriceps,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Bodyweight Skater Jump,Intermediate,Abductors,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Single Arm,Continuous,Neutral,Bodybuilding
Cable Prone Bench Hamstring Curl,Novice,Hamstrings,Cable,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Bulgarian Split Squat Jump,Intermediate,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Plyometric
Cable Standing Single Leg Hamstring Curl,Novice,Hamstrings,Cable,No Arms,Continuous,Hand Assisted,Bodybuilding
Bodyweight Nordic Hamstring Curl,Advanced,Hamstrings,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Superband Assisted Pistol Squat,Intermediate,Quadriceps,Superband,Double Arm,Continuous,Neutral,Balance
Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Dumbbell Front Rack Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Suitcase Walking Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Barbell Back Rack Walking Lunge,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Bodyweight Box Pistol Squat,Novice,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Barbell Overhead Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Quadriceps,Sliders,Double Arm,Continuous,Bottoms Up,Bodybuilding
Landmine Goblet Squat,Novice,Quadriceps,Landmine,Double Arm,Continuous,Goblet,Bodybuilding
Stability Ball Hamstring Curl,Novice,Hamstrings,Stability Ball,No Arms,Continuous,No Grip,Unsorted*
Slider Hamstring Curl,Novice,Hamstrings,Sliders,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Hamstring Walkout ,Novice,Hamstrings,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Slider Dumbbell Goblet Reverse Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Goblet,Bodybuilding
Bodyweight Dragon Squat,Expert,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Calisthenics
Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat to Overhead Press,Intermediate,Shoulders,Dumbbell,Single Arm,Continuous,Neutral,Bodybuilding
Stability Ball Single Leg Hamstring Curl,Intermediate,Hamstrings,Stability Ball,No Arms,Continuous,No Grip,Bodybuilding
Barbell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Suitcase Lateral Lunge,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Unsorted*
Barbell Zombie Walking Lunge,Advanced,Quadriceps,Barbell,Double Arm,Continuous,No Grip,Bodybuilding
Barbell Overhead Walking Lunge,Expert,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Squat Clean,Expert,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Single Arm Landmine Split Clean to Split Jerk,Expert,Shoulders,Landmine,Single Arm,Continuous,Pronated,Unsorted*
Single Arm Landmine Hack Squat,Intermediate,Quadriceps,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Double Indian Club Lateral Arm Circles,Novice,Shoulders,Indian Club,Double Arm,Continuous,Neutral,Mobility
Resistance Band Shoulder Dislocates,Novice,Shoulders,Resistance Band,Double Arm,Continuous,Pronated,Mobility
Suspension Reverse Grip Bicep Curl,Novice,Forearms,Suspension Trainer,Double Arm,Continuous,Pronated,Unsorted*
Cable Straight Bar Reverse Grip Bicep Curl,Novice,Forearms,Cable,Double Arm,Continuous,Pronated,Bodybuilding
Single Arm Cable Reverse Grip Bicep Curl,Novice,Forearms,Cable,Single Arm,Continuous,Pronated,Bodybuilding
Bar Eccentric Chin Up ,Novice,Biceps,Pull Up Bar,Double Arm,Continuous,Supinated,Calisthenics
Bar Eccentric Pull Up,Novice,Back,Pull Up Bar,Double Arm,Continuous,Pronated,Calisthenics
Landmine Half Kneeling Oblique Twist ,Intermediate,Abdominals,Landmine,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Bar Dead Hang,Novice,Back,Pull Up Bar,Single Arm,Continuous,Pronated,Calisthenics
Single Arm Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Alternating Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Alternating Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Stability Ball Single Arm Forearm Plank,Expert,Abdominals,Stability Ball,Single Arm,Continuous,Forearm,Unsorted*
Stability Ball Feet Elevated Single Arm Forearm Plank,Expert,Abdominals,Stability Ball,Single Arm,Continuous,Forearm,Unsorted*
Landmine Zercher Skater Squat,Intermediate,Quadriceps,Landmine,Double Arm,Continuous,No Grip,Balance
Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Intermediate,Shoulders,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Landmine Thruster,Novice,Quadriceps,Landmine,Double Arm,Continuous,Neutral,Bodybuilding
Landmine Romanian Deadlift,Novice,Hamstrings,Landmine,Double Arm,Continuous,Neutral,Bodybuilding
Landmine Single Leg Romanian Deadlift,Intermediate,Hamstrings,Landmine,Single Arm,Continuous,Pronated,Bodybuilding
Landmine Tall Kneeling Oblique Twist,Intermediate,Abdominals,Landmine,Double Arm,Continuous,Neutral,Unsorted*
Landmine Feet Elevated Russian Twist,Intermediate,Abdominals,Landmine,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Landmine Thruster,Intermediate,Quadriceps,Landmine,Single Arm,Continuous,Neutral,Bodybuilding
Double Kettlebell Tall Kneeling Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Single Arm Kettlebell Arm Bar,Novice,Shoulders,Kettlebell,Single Arm,Continuous,Neutral,Mobility
Barbell Power Clean to Overhead Press,Expert,Shoulders,Barbell,Double Arm,Continuous,Pronated,Olympic Weightlifting 
Single Arm Suspension Mid Row,Novice,Back,Suspension Trainer,Single Arm,Continuous,Pronated,Bodybuilding
Landmine Zercher Curtsy Lunge,Intermediate,Quadriceps,Landmine,Double Arm,Continuous,No Grip,Bodybuilding
Barbell Back Rack Alternating Cossack Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Slider Double Kettlebell Overhead Lateral Lunge,Intermediate,Quadriceps,Sliders,Double Arm,Continuous,Pronated,Bodybuilding
Dumbbell Goblet Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Goblet,Bodybuilding
Bodyweight Alternating Cossack Squat,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Knee Over Toe Split Squat ,Beginner,Quadriceps,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Barbell Back Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
Barbell Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Incline Bench Lying Tricep Extension,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Skull Crusher,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Slider Knee Tuck,Novice,Abdominals,Sliders,Double Arm,Continuous,Flat Palm,Unsorted*
EZ Bar Incline Bench Skull Crusher,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Decline Bench Skull Crusher,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Front Raise,Novice,Shoulders,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Suspension Pike,Intermediate,Abdominals,Suspension Trainer,Double Arm,Continuous,Flat Palm,Unsorted*
Suspension Side Plank Reach Through,Advanced,Abdominals,Suspension Trainer,Single Arm,Continuous,Flat Palm,Unsorted*
Bodyweight Cocoon Crunch,Intermediate,Abdominals,Bodyweight,Double Arm,Continuous,No Grip,Unsorted*
Ab Wheel Standing Rollout,Advanced,Abdominals,Ab Wheel,Double Arm,Continuous,Pronated,Unsorted*
Cable Fire Hydrant,Novice,Glutes,Cable,No Arms,Continuous,Flat Palm,Bodybuilding
Cable Tall Kneeling Pull Through,Novice,Glutes,Cable,Double Arm,Continuous,Neutral,Bodybuilding
Stability Ball Bent Knee Reverse Hyperextension,Novice,Glutes,Stability Ball,Double Arm,Continuous,Flat Palm,Bodybuilding
Bodyweight Bench Bent Knee Reverse Hyperextension,Novice,Glutes,Bodyweight,Double Arm,Continuous,Neutral,Bodybuilding
Parallette Tuck L Sit,Intermediate,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
EZ Bar Close Grip Bicep Curl,Novice,Biceps,EZ Bar,Double Arm,Continuous,Supinated,Bodybuilding
EZ Bar Overhead Press,Novice,Shoulders,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Parallette Single Leg L Sit,Intermediate,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Stability Ball Bottoms Up,Intermediate,Abdominals,Stability Ball,No Arms,Continuous,No Grip,Unsorted*
Stability Ball Windshield Wiper,Novice,Abdominals,Stability Ball,No Arms,Continuous,No Grip,Unsorted*
Stability Ball Tall Kneeling Balance,Intermediate,Abdominals,Stability Ball,No Arms,Continuous,No Grip,Balance
Stability Ball Oblique Crunch ,Beginner,Abdominals,Stability Ball,No Arms,Continuous,Head Supported,Unsorted*
Stability Ball Forearm Plank,Novice,Abdominals,Stability Ball,Double Arm,Continuous,Forearm,Unsorted*
Slider Double Kettlebell Suitcase Lateral Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Neutral,Bodybuilding
Slider Kettlebell Horn Grip Lateral Lunge,Novice,Quadriceps,Sliders,Double Arm,Continuous,Horn Grip,Bodybuilding
Single Arm Dumbbell Turkish Sit Up,Intermediate,Abdominals,Dumbbell,Single Arm,Continuous,Pronated,Unsorted*
Single Arm Landmine Turkish Sit Up,Intermediate,Abdominals,Landmine,Single Arm,Continuous,Neutral,Unsorted*
Double Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Neutral,Bodybuilding
Double Dumbbell Turkish Sit Up,Intermediate,Abdominals,Dumbbell,Double Arm,Continuous,Pronated,Unsorted*
Single Arm Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Neutral,Bodybuilding
Single Arm Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Double Dumbbell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
Kettlebell Horn Grip Cyclist Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Horn Grip,Bodybuilding
Kettlebell Bottoms Up Horn Grip Cyclist Squat,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up Horn Grip,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
EZ Bar Seated Overhead Press,Novice,Shoulders,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Tall Kneeling Overhead Tricep Extension,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Reverse Grip Overhead Press,Novice,Shoulders,EZ Bar,Double Arm,Continuous,Supinated,Bodybuilding
Double Dumbbell Suitcase Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Double Arm,Continuous,Neutral,Bodybuilding
EZ Bar Reverse Grip Seated Overhead Press,Novice,Shoulders,EZ Bar,Double Arm,Continuous,Supinated,Bodybuilding
EZ Bar Close Grip Bench Press,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Close Grip Incline Bench Press,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
EZ Bar Close Grip Decline Bench Press,Novice,Triceps,EZ Bar,Double Arm,Continuous,Pronated,Bodybuilding
Cable Half Kneeling Pallof Press,Novice,Abdominals,Cable,Double Arm,Continuous,Neutral,Unsorted*
Single Arm Kettlebell Cyclist Thruster,Novice,Quadriceps,Kettlebell,Single Arm,Continuous,Pronated,Bodybuilding
Double Kettlebell Cyclist Thruster,Novice,Quadriceps,Kettlebell,Double Arm,Continuous,Pronated,Bodybuilding
Alternating Double Kettlebell Cyclist Thruster,Novice,Quadriceps,Kettlebell,Double Arm,Alternating,Pronated,Bodybuilding
Single Arm Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Kettlebell,Single Arm,Continuous,Bottoms Up,Bodybuilding
Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Kettlebell,Double Arm,Continuous,Bottoms Up,Bodybuilding
Alternating Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Quadriceps,Kettlebell,Double Arm,Alternating,Bottoms Up,Bodybuilding
Barbell Kneeling Rollout,Intermediate,Abdominals,Barbell,Double Arm,Continuous,Pronated,Unsorted*
Barbell Reverse Grip Overhead Press,Novice,Shoulders,Barbell,Double Arm,Continuous,Supinated,Bodybuilding
